#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
         0.09        0.105        0.075  1.50615e+06  4.57761e+07  2.98288e+07  3.74703e+07   8.3868e+06  2.45772e+08  2.61238e+08  3.34001e+08  3.83053e+08  5.15215e+08  6.58718e+08      69272.1
         0.09        0.105        0.095       940576  3.52034e+07  2.24286e+07   2.8452e+07   7.1898e+06  1.97337e+08  1.96694e+08  2.50692e+08  3.06801e+08  3.87921e+08  4.94416e+08      69272.1
         0.09        0.125        0.035  2.28093e+07  1.29139e+08  1.19474e+08  1.19474e+08  1.14704e+07  2.59545e+08  5.23617e+08  5.23617e+08  1.90452e+08  1.03268e+09  1.03268e+09      69272.1
         0.09        0.125        0.055  8.14792e+06  7.90751e+07  4.57603e+07  5.31572e+07  9.09093e+06  2.28548e+08  3.11213e+08  3.69894e+08  2.79999e+08  6.13776e+08  7.29508e+08      69272.1
         0.09        0.125        0.075  3.29221e+06  5.18788e+07   3.0536e+07  3.69017e+07  8.04562e+06  2.08374e+08  2.42092e+08  3.02363e+08  3.00502e+08  4.77455e+08  5.96323e+08      69272.1
         0.09        0.125        0.095   1.4577e+06  3.49998e+07  2.11136e+07    2.613e+07  6.84862e+06  1.71307e+08  1.77671e+08  2.25033e+08  2.60866e+08  3.50403e+08  4.43812e+08      69272.1
         0.09        0.125        0.115       922332  2.86438e+07  1.66343e+07  2.09553e+07  6.25741e+06  1.49473e+08  1.46125e+08  1.86839e+08    2.265e+08  2.88189e+08  3.68485e+08      69272.1
         0.09        0.145        0.055  1.07689e+07  6.46424e+07  7.58477e+07  7.58477e+07  8.74401e+06  1.33336e+08  3.32416e+08  3.32416e+08  8.68428e+07  6.55593e+08  6.55593e+08      69272.1
         0.09        0.145        0.075  7.29175e+06  6.24301e+07  3.64854e+07  4.16236e+07   7.6987e+06   1.6149e+08  2.32578e+08  2.70194e+08  1.81721e+08  4.58692e+08  5.32878e+08      69272.1
         0.09        0.145        0.095  2.81591e+06  3.81481e+07  2.13489e+07  2.54592e+07   6.5017e+06  1.39387e+08  1.61502e+08  1.98943e+08  1.94564e+08  3.18515e+08  3.92357e+08      69272.1
         0.09        0.145        0.115   1.3817e+06   2.7952e+07  1.53908e+07  1.89486e+07  5.91049e+06  1.26204e+08  1.29163e+08  1.63751e+08  1.86408e+08  2.54737e+08  3.22951e+08      69272.1
         0.09        0.145        0.135       910552  2.43577e+07  1.27718e+07  1.60376e+07   5.6249e+06  1.18643e+08  1.13981e+08  1.46751e+08  1.74813e+08  2.24795e+08  2.89424e+08      69272.1
         0.11        0.055        0.055  1.06201e+07  8.17525e+07  1.33465e+08  1.33465e+08  1.12876e+07  1.96488e+08  5.84935e+08  5.84935e+08  1.49818e+08  1.15361e+09  1.15361e+09      69272.1
         0.11        0.075        0.035  2.74399e+07  1.55652e+08  1.54613e+08  1.54613e+08  1.26218e+07   3.0889e+08   6.7762e+08   6.7762e+08  2.01159e+08  1.33641e+09  1.33641e+09      69272.1
         0.11        0.075        0.055  1.01703e+07   1.0269e+08  5.85465e+07  6.82205e+07  1.02423e+07  3.02996e+08   4.0459e+08  4.83789e+08  3.75922e+08  7.97935e+08  9.54132e+08      69272.1
         0.11        0.075        0.075  3.97631e+06  6.79767e+07  3.87898e+07  4.72948e+07  9.19701e+06  2.85316e+08  3.16627e+08  3.98639e+08  4.13987e+08  6.24454e+08  7.86199e+08      69272.1
         0.11        0.095        0.015  4.43271e+07   2.3805e+08  1.63104e+08  1.63104e+08  1.44706e+07  4.63594e+08  7.14835e+08  7.14835e+08  3.62408e+08   1.4098e+09   1.4098e+09      69272.1
         0.11        0.095        0.035  6.57155e+06  8.42054e+07  5.04214e+07  6.14866e+07  1.14248e+07  2.99468e+08   4.1269e+08  5.20101e+08  3.97792e+08   8.1391e+08  1.02575e+09      69272.1
         0.11        0.095        0.055  2.39344e+06  5.13954e+07  3.31655e+07  4.09595e+07  9.04533e+06  2.40436e+08  2.87201e+08  3.67966e+08  3.62885e+08  5.66419e+08  7.25705e+08      69272.1
         0.11        0.095        0.075  1.39197e+06  4.10019e+07  2.68201e+07  3.36416e+07  8.00001e+06  2.18153e+08  2.35265e+08  3.01133e+08  3.39756e+08  4.63991e+08  5.93897e+08      69272.1
         0.11        0.095        0.095       840408  3.11478e+07  2.01698e+07  2.55418e+07  6.80302e+06  1.75105e+08  1.76319e+08  2.24602e+08  2.73734e+08  3.47737e+08  4.42962e+08      69272.1
         0.11        0.115        0.005  2.39993e+07  1.33798e+08  9.01367e+07  9.01367e+07   9.9787e+06  2.75883e+08   3.9504e+08   3.9504e+08  2.60697e+08  7.79101e+08  7.79101e+08      69272.1
         0.11        0.115        0.025  3.16996e+06   6.2206e+07  4.21185e+07  5.36816e+07   1.2899e+07  2.76994e+08  4.18819e+08   5.5648e+08  3.91824e+08  8.25997e+08  1.09749e+09      69272.1
         0.11        0.115        0.045  1.57162e+06  4.20591e+07  2.88102e+07  3.61684e+07  9.28903e+06   2.1194e+08  2.71886e+08  3.56914e+08  3.23175e+08  5.36215e+08  7.03909e+08      69272.1
         0.11        0.115        0.065  1.11678e+06  3.51418e+07  2.38758e+07  3.00517e+07  7.94557e+06  1.90078e+08  2.17958e+08  2.82647e+08   2.9732e+08  4.29859e+08  5.57438e+08      69272.1
         0.11        0.115        0.085       766221  2.83427e+07  1.91978e+07  2.42853e+07  6.78044e+06  1.61091e+08  1.70322e+08  2.18237e+08  2.54778e+08   3.3591e+08  4.30409e+08      69272.1
         0.11        0.115        0.105       546016  2.24798e+07  1.48606e+07  1.88877e+07   5.8288e+06   1.2972e+08  1.30122e+08  1.65629e+08  2.03967e+08  2.56627e+08  3.26655e+08      69272.1
         0.11        0.135        0.025  2.62604e+07  1.44344e+08  1.16427e+08  1.16427e+08  1.26135e+07  2.86975e+08  5.10262e+08  5.10262e+08   2.2885e+08  1.00634e+09  1.00634e+09      69272.1
