#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
     0.048836     0.070261     0.091757  2.36292e+06  3.52202e+07  1.60481e+07  1.94729e+07   5.6939e+06  1.34921e+08  1.48469e+08  1.86609e+08  1.90186e+08  3.35536e+08  4.21513e+08      48176.7
     0.048836     0.070261     0.102501  4.12466e+06  3.81127e+07  1.78108e+07  2.08404e+07  5.46562e+06  1.04528e+08  1.40094e+08   1.6749e+08  1.13678e+08  3.16655e+08  3.77977e+08      48176.7
     0.048836        0.081        0.081       847014  2.70119e+07  1.39609e+07  1.75126e+07  5.64847e+06  1.47202e+08   1.4402e+08   1.8583e+08  2.45931e+08  3.25641e+08  4.19935e+08      48176.7
     0.048836        0.081     0.091757  1.12124e+06    2.582e+07  1.19663e+07  1.48974e+07  5.27983e+06  1.21946e+08  1.22271e+08  1.57648e+08  1.89594e+08   2.7612e+08  3.55946e+08      48176.7
     0.048836        0.081     0.102501  1.96312e+06  2.73416e+07  1.18002e+07  1.43788e+07  5.05155e+06  9.97729e+07  1.10955e+08  1.40017e+08  1.35612e+08  2.50827e+08  3.16324e+08      48176.7
     0.048836        0.081      0.11325  3.24399e+06  2.93683e+07  1.42045e+07  1.66101e+07  4.94234e+06  8.05396e+07  1.10698e+08  1.31886e+08   8.8592e+07  2.50105e+08  2.97383e+08      48176.7
     0.048836     0.091757     0.091757       700647  2.02744e+07  9.40665e+06  1.18556e+07  4.91119e+06  1.04587e+08  1.00999e+08  1.31749e+08  1.69088e+08   2.2813e+08  2.97587e+08      48176.7
     0.048836     0.091757     0.102501       920988  1.97718e+07  8.40035e+06  1.05215e+07  4.68291e+06  8.95508e+07  8.88739e+07  1.15526e+08  1.35676e+08   2.0116e+08  2.61451e+08      48176.7
     0.048836     0.091757      0.11325   1.5891e+06  2.14763e+07  9.02929e+06  1.10357e+07   4.5737e+06  7.77266e+07  8.54327e+07  1.07852e+08  1.05878e+08  1.93606e+08  2.44169e+08      48176.7
     0.048836     0.091757     0.124006   2.4873e+06  2.25918e+07  1.13585e+07  1.32608e+07  4.50532e+06  6.40743e+07  8.73937e+07  1.03672e+08  7.46165e+07  1.97139e+08  2.33373e+08      48176.7
     0.048836     0.102501     0.102501       598952  1.60895e+07  6.78289e+06  8.60848e+06  4.45463e+06  7.97961e+07  7.60994e+07  1.00223e+08  1.26195e+08  1.72739e+08  2.27479e+08      48176.7
     0.048836     0.102501      0.11325       798479  1.64232e+07  6.54195e+06  8.23682e+06  4.34542e+06  7.27416e+07  7.10887e+07  9.28937e+07  1.09134e+08  1.61717e+08   2.1123e+08      48176.7
     0.048836     0.102501     0.124006  1.34646e+06  1.79046e+07  7.39596e+06  9.06418e+06  4.27704e+06  6.49863e+07  7.02273e+07  8.86562e+07  8.93767e+07  1.59455e+08  2.01063e+08      48176.7
     0.048836     0.102501     0.134761  1.96529e+06  1.78338e+07  9.22859e+06  1.07805e+07  4.19226e+06   5.1513e+07  7.07404e+07  8.37931e+07  6.12487e+07  1.59426e+08  1.88472e+08      48176.7
     0.048836      0.11325      0.11325       558104  1.42709e+07  5.59865e+06  7.13481e+06  4.23621e+06  6.87818e+07  6.46982e+07   8.5726e+07  1.07417e+08   1.4757e+08  1.95476e+08      48176.7
     0.048836      0.11325     0.124006       743300  1.48299e+07   5.6208e+06  7.10064e+06  4.16783e+06  6.44185e+07  6.21187e+07  8.14749e+07  9.57702e+07  1.41584e+08  1.85612e+08      48176.7
     0.048836      0.11325     0.134761   1.2013e+06  1.55929e+07  6.30368e+06  7.75763e+06  4.08305e+06  5.57302e+07  6.04419e+07  7.64993e+07  7.55004e+07  1.37138e+08  1.73389e+08      48176.7
     0.048836      0.11325     0.145531  1.61251e+06  1.43689e+07  7.70008e+06  9.02616e+06  3.98199e+06  4.07533e+07  5.94683e+07  7.05745e+07  4.64189e+07  1.34085e+08  1.58826e+08      48176.7
     0.048836     0.124006     0.124006       537357  1.33174e+07   4.9397e+06  6.30787e+06  4.09946e+06  6.25562e+07  5.80169e+07  7.71852e+07  9.63595e+07  1.32256e+08  1.75938e+08      48176.7
     0.048836     0.124006     0.134761       697236  1.34969e+07  4.88315e+06  6.19091e+06  4.01467e+06  5.71287e+07  5.47776e+07  7.21458e+07  8.32557e+07  1.24494e+08  1.63948e+08      48176.7
     0.048836     0.124006     0.145531  1.07741e+06  1.35039e+07   5.3425e+06  6.61274e+06  3.91361e+06  4.66946e+07   5.2051e+07  6.61765e+07  6.08564e+07  1.17818e+08  1.49664e+08      48176.7
     0.048836     0.134761     0.134761       494797   1.1952e+07  4.20192e+06   5.3858e+06  3.92988e+06  5.47143e+07  5.01799e+07  6.70591e+07  8.25526e+07  1.13874e+08  1.52248e+08      48176.7
     0.048836     0.134761     0.145531       623450  1.16784e+07  4.03036e+06  5.13999e+06  3.82882e+06   4.8084e+07  4.61406e+07   6.1082e+07  6.82202e+07  1.04451e+08  1.38313e+08      48176.7
     0.048836     0.145531     0.145531       428143  1.00572e+07  3.34691e+06  4.32083e+06  3.72776e+06   4.4998e+07  4.10155e+07  5.51215e+07   6.6371e+07  9.27834e+07  1.24794e+08      48176.7
     0.059539     0.059539     0.059539       665478  3.16947e+07  2.10631e+07  2.70031e+07  6.73233e+06  2.10523e+08  2.15583e+08   2.7508e+08  3.81415e+08  4.92792e+08  6.27184e+08      48176.7
     0.059539     0.059539     0.070261       823860  3.13788e+07  1.91185e+07  2.42768e+07  6.36913e+06  1.90676e+08  1.92923e+08  2.45855e+08   3.3223e+08  4.40024e+08  5.59513e+08      48176.7
     0.059539     0.059539        0.081  1.36599e+06  3.23243e+07  1.73197e+07  2.14723e+07  5.95505e+06  1.61503e+08  1.67817e+08  2.12726e+08  2.60459e+08  3.81021e+08  4.82374e+08      48176.7
     0.059539     0.059539     0.091757  2.48855e+06   3.4857e+07  1.63359e+07  1.96918e+07  5.58641e+06  1.29514e+08  1.46743e+08   1.8281e+08  1.79547e+08   3.3232e+08  4.13702e+08      48176.7
     0.059539     0.059539     0.102501  4.39869e+06  3.91365e+07  1.79427e+07  2.08535e+07  5.35813e+06  1.03183e+08  1.38198e+08  1.63989e+08  1.07131e+08  3.13304e+08  3.71175e+08      48176.7
     0.059539     0.070261     0.070261       624618  2.66827e+07   1.6866e+07  2.15006e+07  6.00592e+06  1.69198e+08  1.71432e+08  2.18852e+08  3.00542e+08  3.90436e+08  4.97313e+08      48176.7
     0.059539     0.070261        0.081       791495  2.56257e+07  1.46624e+07  1.84894e+07  5.59185e+06  1.45253e+08  1.47368e+08  1.88216e+08  2.45455e+08  3.34407e+08  4.26411e+08      48176.7
